"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Marital Status"	"Marital Status Code"	"Mother's Education"	"Mother's Education Code"	Births
	"Colorado"	"08"	"2005"	"2005"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	796
	"Colorado"	"08"	"2005"	"2005"	"Unmarried"	"2"	"0 -  8 years"	"19176"	1670
	"Colorado"	"08"	"2005"	"2005"	"Unmarried"	"2"	"9 - 11 years"	"19177"	5685
	"Colorado"	"08"	"2005"	"2005"	"Unmarried"	"2"	"12 years"	"19178"	6879
	"Colorado"	"08"	"2005"	"2005"	"Unmarried"	"2"	"13 - 15 years"	"19179"	2774
	"Colorado"	"08"	"2005"	"2005"	"Unmarried"	"2"	"16 years and over"	"16+"	1125
	"Colorado"	"08"	"2005"	"2005"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	524
	"Colorado"	"08"	"2006"	"2006"	"Married"	"1"	"0 -  8 years"	"19176"	2689
	"Colorado"	"08"	"2006"	"2006"	"Married"	"1"	"9 - 11 years"	"19177"	4781
	"Colorado"	"08"	"2006"	"2006"	"Married"	"1"	"12 years"	"19178"	11790
	"Colorado"	"08"	"2006"	"2006"	"Married"	"1"	"13 - 15 years"	"19179"	9730
	"Colorado"	"08"	"2006"	"2006"	"Married"	"1"	"16 years and over"	"16+"	20849
	"Colorado"	"08"	"2006"	"2006"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	1377
